,movie,year,imdb,metascore,votes,genre
378, Lucifer,(2015– ),9.8,None,9828,Crime
393, BoJack Horseman,(2014–2020),9.8,None,9258,Animation
, Lucifer,(2015– ),9.8,None,9828,Drama
, BoJack Horseman,(2014–2020),9.8,None,9258,Comedy
, Lucifer,(2015– ),9.8,None,9828,Fantasy
, BoJack Horseman,(2014–2020),9.8,None,9258,Drama
248,Red Dead Redemption II,(2018 Video Game),9.7,None,17463,Action
,Red Dead Redemption II,(2018 Video Game),9.7,None,17463,Adventure
,Red Dead Redemption II,(2018 Video Game),9.7,None,17463,Crime
295,God of War,(2018 Video Game),9.6,None,14070,Action
475, Better Call Saul,(2015– ),9.6,None,6963,Crime
,God of War,(2018 Video Game),9.6,None,14070,Adventure
, Better Call Saul,(2015– ),9.6,None,6963,Drama
,God of War,(2018 Video Game),9.6,None,14070,Drama
391, The Haunting of Hill House,(2018– ),9.5,None,9333,Drama
, The Haunting of Hill House,(2018– ),9.5,None,9333,Horror
, The Haunting of Hill House,(2018– ),9.5,None,9333,Mystery
429, The Haunting of Hill House,(2018– ),9.4,None,8326,Drama
, The Haunting of Hill House,(2018– ),9.4,None,8326,Horror
, The Haunting of Hill House,(2018– ),9.4,None,8326,Mystery
369,Spider-Man,(2018 Video Game),9.3,None,10377,Action
387,Detroit: Become Human,(2018 Video Game),9.3,None,9552,Adventure
,Spider-Man,(2018 Video Game),9.3,None,10377,Adventure
,Detroit: Become Human,(2018 Video Game),9.3,None,9552,Drama
,Spider-Man,(2018 Video Game),9.3,None,10377,Fantasy
,Detroit: Become Human,(2018 Video Game),9.3,None,9552,Sci-Fi
196,Sahsiyet,-2018,9.2,None,23904,Crime
250,Yeh Meri Family,(2018– ),9.2,None,17407,Comedy
256,Flames,(2018– ),9.2,None,17145,Comedy
280, Westworld,(2016– ),9.2,None,15233,Drama
353, The Walking Dead,(2010– ),9.2,None,10886,Drama
,Sahsiyet,-2018,9.2,None,23904,Drama
,Yeh Meri Family,(2018– ),9.2,None,17407,Drama
,Flames,(2018– ),9.2,None,17145,Drama
, Westworld,(2016– ),9.2,None,15233,Mystery
, The Walking Dead,(2010– ),9.2,None,10886,Horror
,Sahsiyet,-2018,9.2,None,23904,Mystery
,Yeh Meri Family,(2018– ),9.2,None,17407,Family
,Flames,(2018– ),9.2,None,17145,Romance
, Westworld,(2016– ),9.2,None,15233,Sci-Fi
, The Walking Dead,(2010– ),9.2,None,10886,Thriller
231,College Romance,(2018– ),9.1,None,19554,Comedy
